"STATISTIC Label","Year","Single Year of Age","Sex","UNIT","VALUE"
"Population estimates from 1926","1971","28 years","Male","Number","16747"
"Population estimates from 1926","1971","28 years","Female","Number","16836"
"Population estimates from 1926","1971","29 years","Both sexes","Number","30828"
"Population estimates from 1926","1971","29 years","Male","Number","15847"
"Population estimates from 1926","1971","29 years","Female","Number","14981"
"Population estimates from 1926","1971","30 years","Both sexes","Number","30662"
"Population estimates from 1926","1971","30 years","Male","Number","15789"
"Population estimates from 1926","1971","30 years","Female","Number","14873"
"Population estimates from 1926","1971","31 years","Both sexes","Number","31306"
"Population estimates from 1926","1971","31 years","Male","Number","15908"
"Population estimates from 1926","1971","31 years","Female","Number","15398"
"Population estimates from 1926","1971","32 years","Both sexes","Number","30052"
"Population estimates from 1926","1971","32 years","Male","Number","15172"
"Population estimates from 1926","1971","32 years","Female","Number","14880"
"Population estimates from 1926","1971","33 years","Both sexes","Number","29077"
"Population estimates from 1926","1971","33 years","Male","Number","14758"
"Population estimates from 1926","1971","33 years","Female","Number","14319"
"Population estimates from 1926","1971","34 years","Both sexes","Number","30254"
"Population estimates from 1926","1971","34 years","Male","Number","15196"
"Population estimates from 1926","1971","34 years","Female","Number","15058"
"Population estimates from 1926","1971","35 years","Both sexes","Number","30466"
"Population estimates from 1926","1971","35 years","Male","Number","15508"
"Population estimates from 1926","1971","35 years","Female","Number","14958"
"Population estimates from 1926","1971","36 years","Both sexes","Number","29572"
"Population estimates from 1926","1971","36 years","Male","Number","14954"
"Population estimates from 1926","1971","36 years","Female","Number","14618"
"Population estimates from 1926","1971","37 years","Both sexes","Number","28865"
"Population estimates from 1926","1971","37 years","Male","Number","14656"
"Population estimates from 1926","1971","37 years","Female","Number","14209"
"Population estimates from 1926","1971","38 years","Both sexes","Number","30732"
"Population estimates from 1926","1971","38 years","Male","Number","15347"
"Population estimates from 1926","1971","38 years","Female","Number","15385"
"Population estimates from 1926","1971","39 years","Both sexes","Number","29472"
"Population estimates from 1926","1971","39 years","Male","Number","15023"
"Population estimates from 1926","1971","39 years","Female","Number","14449"
"Population estimates from 1926","1971","40 years","Both sexes","Number","30942"
"Population estimates from 1926","1971","40 years","Male","Number","15804"
"Population estimates from 1926","1971","40 years","Female","Number","15138"
"Population estimates from 1926","1971","41 years","Both sexes","Number","30603"
"Population estimates from 1926","1971","41 years","Male","Number","15314"
"Population estimates from 1926","1971","41 years","Female","Number","15289"
"Population estimates from 1926","1971","42 years","Both sexes","Number","30459"
"Population estimates from 1926","1971","42 years","Male","Number","15261"
"Population estimates from 1926","1971","42 years","Female","Number","15198"
"Population estimates from 1926","1971","43 years","Both sexes","Number","29774"
"Population estimates from 1926","1971","43 years","Male","Number","14808"
"Population estimates from 1926","1971","43 years","Female","Number","14966"
"Population estimates from 1926","1971","44 years","Both sexes","Number","30951"
"Population estimates from 1926","1971","44 years","Male","Number","15237"
"Population estimates from 1926","1971","44 years","Female","Number","15714"
"Population estimates from 1926","1971","45 years","Both sexes","Number","30956"
"Population estimates from 1926","1971","45 years","Male","Number","15192"
"Population estimates from 1926","1971","45 years","Female","Number","15764"
"Population estimates from 1926","1971","46 years","Both sexes","Number","31732"
"Population estimates from 1926","1971","46 years","Male","Number","15692"
"Population estimates from 1926","1971","46 years","Female","Number","16040"
"Population estimates from 1926","1971","47 years","Both sexes","Number","31254"
"Population estimates from 1926","1971","47 years","Male","Number","15621"
"Population estimates from 1926","1971","47 years","Female","Number","15633"
"Population estimates from 1926","1971","48 years","Both sexes","Number","32755"
"Population estimates from 1926","1971","48 years","Male","Number","16163"
"Population estimates from 1926","1971","48 years","Female","Number","16592"
"Population estimates from 1926","1971","49 years","Both sexes","Number","33427"
"Population estimates from 1926","1971","49 years","Male","Number","16865"
"Population estimates from 1926","1971","49 years","Female","Number","16562"
"Population estimates from 1926","1971","50 years","Both sexes","Number","34340"
"Population estimates from 1926","1971","50 years","Male","Number","17248"
"Population estimates from 1926","1971","50 years","Female","Number","17092"
"Population estimates from 1926","1971","51 years","Both sexes","Number","33302"
"Population estimates from 1926","1971","51 years","Male","Number","16791"
"Population estimates from 1926","1971","51 years","Female","Number","16511"
"Population estimates from 1926","1971","52 years","Both sexes","Number","30989"
"Population estimates from 1926","1971","52 years","Male","Number","15581"
"Population estimates from 1926","1971","52 years","Female","Number","15408"
"Population estimates from 1926","1971","53 years","Both sexes","Number","28283"
"Population estimates from 1926","1971","53 years","Male","Number","14253"
"Population estimates from 1926","1971","53 years","Female","Number","14030"
"Population estimates from 1926","1971","54 years","Both sexes","Number","32168"
"Population estimates from 1926","1971","54 years","Male","Number","16166"
"Population estimates from 1926","1971","54 years","Female","Number","16002"
"Population estimates from 1926","1971","55 years","Both sexes","Number","30631"
"Population estimates from 1926","1971","55 years","Male","Number","15574"
"Population estimates from 1926","1971","55 years","Female","Number","15057"
"Population estimates from 1926","1971","56 years","Both sexes","Number","32194"
"Population estimates from 1926","1971","56 years","Male","Number","16117"
"Population estimates from 1926","1971","56 years","Female","Number","16077"
"Population estimates from 1926","1971","57 years","Both sexes","Number","29619"
"Population estimates from 1926","1971","57 years","Male","Number","14956"
"Population estimates from 1926","1971","57 years","Female","Number","14663"
"Population estimates from 1926","1971","58 years","Both sexes","Number","31760"
"Population estimates from 1926","1971","58 years","Male","Number","16095"
"Population estimates from 1926","1971","58 years","Female","Number","15665"
"Population estimates from 1926","1971","59 years","Both sexes","Number","30643"
"Population estimates from 1926","1971","59 years","Male","Number","15687"
"Population estimates from 1926","1971","59 years","Female","Number","14956"
"Population estimates from 1926","1971","60 years","Both sexes","Number","31054"
"Population estimates from 1926","1971","60 years","Male","Number","16008"
"Population estimates from 1926","1971","60 years","Female","Number","15046"
"Population estimates from 1926","1971","61 years","Both sexes","Number","27682"
"Population estimates from 1926","1971","61 years","Male","Number","14132"
"Population estimates from 1926","1971","61 years","Female","Number","13550"
